64, 64, 64, 0.336000 
128, 128, 128, 2.862000 
192, 192, 192, 13.380000 
256, 256, 256, 26.129000 
320, 320, 320, 36.728000 
384, 384, 384, 64.532000 
448, 448, 448, 99.406000 
512, 512, 512, 178.810000 
576, 576, 576, 176.106000 
640, 640, 640, 245.393000 
704, 704, 704, 322.193000 
768, 768, 768, 461.219000 
832, 832, 832, 538.804000 
896, 896, 896, 692.246000 
960, 960, 960, 824.962000 
1024, 1024, 1024, 967.721000 
1088, 1088, 1088, 1019.693000 
1152, 1152, 1152, 1228.110000 
1216, 1216, 1216, 1433.520000 
1280, 1280, 1280, 1713.473000 
1344, 1344, 1344, 1923.734000 
1408, 1408, 1408, 2238.969000 
1472, 1472, 1472, 2535.229000 
1536, 1536, 1536, 3177.613000 
1600, 1600, 1600, 3277.822000 
1664, 1664, 1664, 3718.340000 
1728, 1728, 1728, 4143.889000 
1792, 1792, 1792, 4846.423000 
1856, 1856, 1856, 5140.418000 
1920, 1920, 1920, 5744.028000 
1984, 1984, 1984, 6296.897000 
2048, 2048, 2048, 8840.485000 
